省份编码,省份,年份,所属区域,推荐建模样本标记,基准因变量,稳健性因变量_住院率,稳健性因变量_两周就诊率,PM2.5,PM10,SO2,NO2,O3,CO,ln_常住人口,ln_人均GDP,常住人口_万人,人均GDP_元,地区生产总值_亿元,城镇化率,第二产业占比,医疗卫生机构数_个,医院数_个,城镇人口_万人,第二产业增加值_亿元,污染覆盖月份数,污染数据是否完整年
12,广东,2018,东部,1,18.7,14.8,46.0,35.41666666666666,54.08333333333334,10.0,49.66666666666666,159.5,1.058333333333333,9.42124938562205,11.320601671214103,12348,82503.96825396825,101875.9,0.7180919987042436,0.406362054224797,51451,1553.0,8867,41398.5,12,是
13,广西,2018,西部,1,35.4,25.6,71.7,34.16666666666666,57.5,10.66666666666667,35.5,116.9166666666667,1.216666666666667,8.506536611227709,10.60487339246864,4947,40330.90762078027,19951.7,0.5182939155043461,0.3354551241247613,33742,624.0,2564,6692.9,12,是
14,新疆,2018,西部,1,35.4,25.6,71.7,54.91666666666666,99.16666666666669,10.91666666666667,45.08333333333334,103.8333333333333,1.716666666666667,7.832014180505469,10.859464395964434,2520,52024.20634920635,13110.1,0.540079365079365,0.3552375649308548,18450,907.0,1361,4657.2,12,是
15,江苏,2018,东部,1,18.7,14.8,46.0,44.41666666666666,76.08333333333333,10.41666666666667,43.66666666666666,149.4166666666667,1.2,9.041448235493888,11.614141362824002,8446,110651.5510300734,93456.3,0.7119346436182808,0.4507925094402411,33254,1853.0,6013,42129.4,12,是
16,江西,2018,中部,1,21.6,15.7,38.7,30.5,64.33333333333333,10.91666666666667,35.83333333333334,129.9166666666667,1.408333333333333,8.414717399827001,10.839606979848588,4513,51001.329492577,23016.9,0.5734544648792378,0.4379912151506067,36545,716.0,2588,10081.2,12,是
17,河北,2018,东部,1,18.7,14.8,46.0,72.83333333333333,132.4166666666667,22.5,49.58333333333334,153.0833333333333,1.958333333333333,8.912742634737025,10.700253225983806,7426,44367.08860759494,32947.0,0.5732561271209264,0.391662366831578,85088,2108.0,4257,12904.1,12,是
18,河南,2018,中部,1,21.6,15.7,38.7,63.91666666666666,106.9166666666667,15.33333333333333,50.33333333333334,151.5833333333333,1.641666666666667,9.19664704484418,10.83892670542522,9864,50966.64639091647,50273.5,0.522404703974047,0.4266024844102758,71351,1825.0,5153,21446.8,12,是
19,浙江,2018,东部,1,18.7,14.8,46.0,40.08333333333334,68.25,9.666666666666666,43.16666666666666,150.0,1.191666666666667,8.744009988096744,11.456892251258779,6273,94550.77315479037,59311.7,0.7001434720229556,0.4266965876884324,32754,1288.0,4392,25308.1,12,是
20,海南,2018,东部,1,18.7,14.8,46.0,18.5,34.83333333333334,5.166666666666667,13.41666666666667,111.0,0.7583333333333333,6.889591308354466,10.838781902435398,982,50959.26680244399,5004.2,0.5916496945010183,0.2104432276887414,5325,218.0,581,1053.1,12,是
21,湖北,2018,中部,1,21.6,15.7,38.7,48.58333333333334,73.5,8.916666666666666,46.91666666666666,139.6666666666667,1.408333333333333,8.685584842676693,11.180260404836297,5917,71701.03092783505,42425.5,0.6099374683116444,0.4142296496211005,36486,995.0,3609,17573.9,12,是
22,湖南,2018,中部,1,21.6,15.7,38.7,47.66666666666666,63.0,10.08333333333333,34.5,140.8333333333333,1.125,8.800113946766308,10.918830170781026,6635,55206.17935192163,36629.3,0.560964581763376,0.3795895635461229,56239,1552.0,3722,13904.1,12,是
23,甘肃,2018,西部,1,35.4,25.6,71.7,47.83333333333334,105.75,21.33333333333333,55.16666666666666,142.75,1.841666666666667,7.83002808253384,10.412088038502278,2515,33259.24453280318,8364.7,0.4970178926441352,0.3301493179671715,27897,626.0,1250,2761.6,12,是
24,福建,2018,东部,1,18.7,14.8,46.0,24.75,47.66666666666666,7.0,26.08333333333333,134.0833333333333,0.8583333333333334,8.319717386850606,11.467177452387459,4104,95528.26510721247,39204.8,0.6698343079922028,0.4807523568542627,27590,641.0,2749,18847.8,12,是
25,西藏,2018,西部,1,35.4,25.6,71.7,20.0,55.33333333333334,7.0,21.08333333333333,120.5833333333333,0.6916666666666668,5.869296913133774,10.708436324821102,354,44731.6384180791,1583.5,0.3389830508474576,0.3679823176507736,6844,158.0,120,582.7,12,是
26,贵州,2018,西部,1,35.4,25.6,71.7,32.5,57.25,10.75,24.75,108.25,0.8416666666666667,8.248529124800218,10.635042512760679,3822,41566.19570905285,15886.6,0.4952904238618525,0.3465939848677502,28066,1309.0,1893,5506.2,12,是
27,辽宁,2018,东部,1,18.7,14.8,46.0,41.08333333333334,73.41666666666667,26.41666666666667,39.33333333333334,134.0833333333333,1.616666666666666,8.364275084991524,10.936592415604114,4291,56195.52551852715,24113.5,0.7026334187835004,0.3752669666369461,36029,1369.0,3015,9049.0,12,是
28,重庆,2018,西部,1,35.4,25.6,71.7,39.58333333333334,64.25,9.333333333333334,44.08333333333334,122.9166666666667,1.183333333333333,8.059276223305648,11.14378893247699,3163,69133.10148593108,21866.8,0.6661397407524502,0.4043664367900196,20524,800.0,2107,8842.2,12,是
29,陕西,2018,西部,1,35.4,25.6,71.7,61.83333333333334,112.25,14.75,55.58333333333334,134.4166666666667,1.725,8.27664912542186,11.034175480895101,3931,61955.73645382854,24354.8,0.5965403205291274,0.4604964935043605,35300,1175.0,2345,11215.3,12,是
30,青海,2018,西部,1,35.4,25.6,71.7,46.08333333333334,92.41666666666669,19.75,38.91666666666666,115.9166666666667,2.183333333333333,6.375024819828097,10.772654533387897,587,47698.4667802385,2799.9,0.5724020442930153,0.3906210936104861,6396,220.0,336,1093.7,12,是
31,黑龙江,2018,中部,1,21.6,15.7,38.7,39.5,65.08333333333333,20.25,37.16666666666666,110.1666666666667,1.15,8.109826276018477,10.588917929507346,3327,39692.51577998196,13205.7,0.6345055605650737,0.2677631628766366,20349,1105.0,2111,3536.0,12,是
1,上海,2019,东部,1,17.8,14.0,44.3,34.75,45.33333333333334,6.833333333333333,41.58333333333334,133.4166666666667,0.9666666666666668,7.816416983691801,11.996570013686922,2481,162197.5010076582,40241.2,0.8923821039903265,0.2563815194377901,5597,374.0,2214,10317.1,12,是
2,云南,2019,西部,1,33.7,25.5,69.5,26.16666666666667,45.08333333333334,11.41666666666667,31.08333333333333,114.75,0.8916666666666666,8.458292083496076,10.833769888648495,4714,50704.49724225711,23902.1,0.4866355536699194,0.3410620824111689,25587,1376.0,2294,8152.1,12,是
3,内蒙古,2019,西部,1,33.7,25.5,69.5,36.41666666666666,71.16666666666667,14.41666666666667,39.08333333333334,116.75,26.58333333333333,7.789454566086673,11.18966412956713,2415,72378.46790890269,17479.4,0.6645962732919255,0.3875419064727622,24564,794.0,1605,6774.0,12,是
4,北京,2019,东部,1,17.8,14.0,44.3,41.91666666666666,67.66666666666667,4.333333333333333,36.66666666666666,138.3333333333333,1.216666666666667,7.691656822810547,12.057874533600005,2190,172452.0547945205,37767.0,0.8735159817351598,0.1539147933380994,10336,664.0,1913,5812.9,12,是
5,吉林,2019,中部,1,20.8,15.6,37.1,38.08333333333334,64.83333333333333,11.08333333333333,33.83333333333334,108.5833333333333,1.133333333333333,7.803026643632217,10.795750075238077,2448,48812.90849673202,11949.4,0.616421568627451,0.3483020067953203,22198,797.0,1509,4162.0,12,是
6,四川,2019,西部,1,33.7,25.5,69.5,42.66666666666666,68.0,6.583333333333333,41.91666666666666,125.75,1.066666666666667,9.03013657115323,10.941687496779524,8351,56482.57693689378,47168.6,0.5535863968387019,0.3647066056656335,83756,2417.0,4623,17202.7,12,是
